pID,condition,identify,age,ComputerExperience,GamesExperience,VideoEditingExperience,VideoComparisonExperience,VisualizationExperience,VisualizationComparisonExperience,LineChartExperience,BarChartExperience,ScatterplotExperience,AreaChartExperience,PieChartExperience,BoxWhiskerExperience
3,smallmultiples_overlays_shadowmarks,Woman,26,40,20,0,0,0,10,1,1,1,1,1,1
4,smallmultiples_shadowmarks_overlays,Man,38,40,6,0,1,1,3,,1,1,,1,
8,smallmultiples_shadowmarks_overlays,Man,21,84,50,0,0,0,0,1,1,1,,1,
10,overlays_shadowmarks_smallmultiples,Man,20,70,5,0,0,0,0,1,1,1,,1,
14,shadowmarks_overlays_smallmultiples,Man,28,35,14,1,0,0,0,1,1,,,1,
15,overlays_smallmultiples_shadowmarks,Woman,28,30,10,0,0,5,1,,1,,,1,
22,smallmultiples_overlays_shadowmarks,Woman,20,80,50,0,0,0,0,1,1,1,1,1,1
24,overlays_shadowmarks_smallmultiples,Man,34,6,4,0,0,0,0,1,1,,,,
27,shadowmarks_smallmultiples_overlays,Man,34,50,10,1,1,2,2,1,1,1,,1,
28,shadowmarks_overlays_smallmultiples,Woman,30,35,1,0,1,1,1,1,1,,,1,
35,shadowmarks_smallmultiples_overlays,Woman,32,12,0,0,5,12,12,1,1,,,1,
36,smallmultiples_overlays_shadowmarks,Woman,31,80,6,2,1,40,40,1,1,,,1,
37,smallmultiples_overlays_shadowmarks,Woman,32,30,0,2,0,0,0,1,1,,,1,
38,smallmultiples_shadowmarks_overlays,Woman,38,60,2,0,0,2,1,1,1,1,1,1,
41,shadowmarks_smallmultiples_overlays,Man,66,40,0,0,0,0,0,,1,1,,1,
44,overlays_smallmultiples_shadowmarks,Man,23,60,10,10,10,0,0,1,1,,,1,
47,shadowmarks_overlays_smallmultiples,Man,19,20,12,6,6,8,8,1,1,1,1,1,1
49,overlays_shadowmarks_smallmultiples,Man,49,35,5,0,0,0,0,,,,,,
51,overlays_shadowmarks_smallmultiples,Man,23,12,10,0,0,0,0,1,1,1,1,1,
52,smallmultiples_shadowmarks_overlays,Woman,20,9,4,1,0,0,0,,,,,,
56,smallmultiples_shadowmarks_overlays,Woman,39,25,4,0,0,0,0,,1,,,1,
57,overlays_smallmultiples_shadowmarks,Man,49,45,12,2,1,2,2,1,1,,,1,
58,shadowmarks_smallmultiples_overlays,Woman,32,60,20,0,0,2,2,1,1,1,,1,
64,shadowmarks_overlays_smallmultiples,Man,28,40,4,0,0,0,0,1,1,1,,1,
73,shadowmarks_overlays_smallmultiples,Woman,48,25,15,0,0,0,0,1,1,1,,1,1
74,smallmultiples_overlays_shadowmarks,Woman,53,0,7,0,2,0,1,1,1,1,1,1,1
81,shadowmarks_smallmultiples_overlays,Woman,34,45,10,0,0,0,0,,1,,1,1,
82,overlays_shadowmarks_smallmultiples,Man,28,65,25,0,1,1,6,1,1,1,,1,
83,overlays_smallmultiples_shadowmarks,Woman,30,45,0,0,0,0,0,,,,,,
84,overlays_smallmultiples_shadowmarks,Man,47,52,2,0,1,0,0,1,1,,,1,
