pID,condition,task,interaction,trial,attempt,errCode,timestamp,fullscreen,timestamp
22,1,3,shadowMarkers,0,1,4,1724272860462,false,,2024-08-21 20:47:35.983663
22,1,3,shadowMarkers,0,1,4,1724272870109,false,
22,1,3,shadowMarkers,0,1,4,1724272894567,false,
22,1,3,shadowMarkers,0,1,4,1724272957509,false,
27,5,3,smallMultiples,1,3,2,1724275514083,true,,2024-08-21 21:26:44.910157
28,6,3,shadowMarkers,0,1,4,1724275446858,true,,2024-08-21 21:37:41.423692
28,6,3,smallMultiples,0,1,4,1724276783508,true,,2024-08-21 21:51:42.319354
28,6,3,smallMultiples,0,1,4,1724276844761,true,
28,6,3,smallMultiples,0,2,4,1724276925425,true,
32,5,3,shadowMarkers,0,1,2,1724278563825,true,,2024-08-21 22:21:52.256100
32,5,3,shadowMarkers,1,1,2,1724278720963,true,
32,5,3,shadowMarkers,2,1,2,1724278779403,true,
32,5,3,smallMultiples,2,6,2,1724279682568,true,,2024-08-21 22:34:17.839742
35,5,3,shadowMarkers,0,1,3,1724340821390,false,,2024-08-22 15:40:49.999837
35,5,3,shadowMarkers,1,2,2,1724341052525,true,
35,5,3,shadowMarkers,1,2,2,1724341061077,true,
35,5,3,shadowMarkers,1,2,2,1724341065561,true,
35,5,3,shadowMarkers,2,3,2,1724341167113,true,
35,5,3,shadowMarkers,2,4,2,1724341181920,true,
35,5,3,shadowMarkers,2,6,2,1724341218227,true,
36,1,3,smallMultiples,1,2,2,1724341256763,true,,2024-08-22 15:47:24.154851
36,1,3,smallMultiples,1,3,2,1724341297931,true,
36,1,3,smallMultiples,1,3,2,1724341305490,true,
36,1,3,smallMultiples,1,7,2,1724341360446,true,
35,5,3,smallMultiples,0,1,4,1724341403081,true,,2024-08-22 15:50:27.021190
35,5,3,smallMultiples,0,1,4,1724341432582,false,
35,5,3,smallMultiples,0,1,4,1724341463222,false,
35,5,3,smallMultiples,0,2,2,1724341613801,true,
35,5,3,smallMultiples,2,2,2,1724341758038,true,
35,5,3,overlays,0,3,2,1724342065044,true,,2024-08-22 15:58:35.205122
35,5,3,overlays,2,2,2,1724342238553,true,
35,5,3,overlays,2,7,2,1724342307640,true,
36,1,3,overlays,0,1,4,1724342000530,true,,2024-08-22 16:08:07.157066
36,1,3,overlays,0,1,4,1724342203549,false,
36,1,3,overlays,0,2,2,1724342461982,true,
36,1,3,overlays,0,4,2,1724342498651,true,
36,1,3,shadowMarkers,0,4,2,1724343287136,true,,2024-08-22 16:19:16.883076
36,1,3,shadowMarkers,2,2,2,1724343537668,true,
38,2,3,smallMultiples,2,1,3,1724344368093,false,,2024-08-22 16:38:58.863391
38,2,3,smallMultiples,2,4,2,1724344498158,true,
41,5,3,shadowMarkers,0,1,2,1724344860894,true,,2024-08-22 16:46:50.656214
38,2,3,overlays,2,1,3,1724345403101,false,,2024-08-22 16:54:10.735223
41,5,3,smallMultiples,2,3,2,1724345695015,true,,2024-08-22 16:56:13.543876
41,5,3,overlays,0,2,2,1724346122603,true,,2024-08-22 17:07:17.782940
41,5,3,overlays,0,2,2,1724346127431,true,
41,5,3,overlays,1,2,2,1724346273078,true,
44,3,3,overlays,1,2,2,1724346452166,true,,2024-08-22 17:12:18.955136
44,3,3,overlays,1,3,2,1724346489105,true,
47,6,3,shadowMarkers,0,4,2,1724347972409,true,,2024-08-22 17:35:14.821349
47,6,3,shadowMarkers,0,4,2,1724347979766,true,
47,6,3,shadowMarkers,1,2,2,1724348027534,true,
49,4,3,overlays,0,1,3,1724349813119,false,,2024-08-22 18:10:45.975117
49,4,3,overlays,0,1,2,1724349820898,false,
49,4,3,overlays,0,2,2,1724349867962,true,
49,4,3,overlays,0,4,2,1724349944585,true,
49,4,3,overlays,0,6,2,1724349984181,true,
49,4,3,overlays,1,2,2,1724350043875,true,
52,2,3,smallMultiples,1,2,2,1724350380837,true,,2024-08-22 18:17:00.395056
52,2,3,smallMultiples,1,2,2,1724350387899,true,
52,2,3,smallMultiples,2,2,2,1724350555813,true,
52,2,3,smallMultiples,2,2,2,1724350560183,true,
49,4,3,smallMultiples,0,2,2,1724350604766,true,,2024-08-22 18:18:17.188099
52,2,3,shadowMarkers,2,2,2,1724351161964,true,,2024-08-22 18:27:32.058021
56,2,3,smallMultiples,1,2,2,1724351766684,true,,2024-08-22 18:41:39.091042
56,2,3,smallMultiples,1,3,2,1724351829907,true,
56,2,3,smallMultiples,2,3,2,1724352004343,true,
56,2,3,smallMultiples,2,4,2,1724352032546,true,
56,2,3,smallMultiples,2,5,2,1724352066040,true,
56,2,3,smallMultiples,2,6,2,1724352077046,true,
56,2,3,shadowMarkers,0,1,4,1724352406614,false,,2024-08-22 18:54:32.333727
56,2,3,shadowMarkers,1,5,2,1724352691397,true,
56,2,3,overlays,0,2,2,1724353081000,true,,2024-08-22 19:02:52.360393
56,2,3,overlays,1,11,2,1724353235727,true,
56,2,3,overlays,2,2,2,1724353336715,true,
57,3,3,overlays,0,2,2,1724352972230,true,,2024-08-22 19:08:42.465469
57,3,3,overlays,1,1,2,1724353192075,true,
57,3,3,overlays,1,1,2,1724353283040,true,
57,3,3,overlays,2,1,2,1724353518359,true,
57,3,3,overlays,2,1,2,1724353566623,true,
57,3,3,overlays,2,3,2,1724353680512,true,
57,3,3,smallMultiples,1,2,2,1724354064290,true,,2024-08-22 19:19:27.180992
57,3,3,smallMultiples,2,3,2,1724354266782,true,
57,3,3,smallMultiples,2,6,2,1724354330682,true,
58,5,3,shadowMarkers,0,2,2,1724354562145,true,,2024-08-22 19:26:13.422914
58,5,3,shadowMarkers,0,2,2,1724354568382,true,
57,3,3,shadowMarkers,2,3,2,1724354927915,true,,2024-08-22 19:29:32.795919
64,6,3,shadowMarkers,0,1,2,1724358743355,true,,2024-08-22 20:39:56.450211
64,6,3,shadowMarkers,0,1,3,1724358778511,false,
64,6,3,shadowMarkers,1,2,2,1724358907997,true,
64,6,3,shadowMarkers,1,2,2,1724358982426,true,
64,6,3,shadowMarkers,2,2,2,1724359130070,true,
64,6,3,shadowMarkers,2,2,2,1724359136051,true,
64,6,3,shadowMarkers,2,3,2,1724359176962,true,
64,6,3,overlays,0,3,2,1724359499432,true,,2024-08-22 20:52:15.063985
64,6,3,overlays,0,3,2,1724359560445,true,
64,6,3,overlays,2,3,2,1724359859033,true,
64,6,3,overlays,2,6,2,1724359919685,true,
64,6,3,smallMultiples,0,3,2,1724360147806,true,,2024-08-22 20:59:19.492768
73,6,3,shadowMarkers,1,4,2,1724362830851,true,,2024-08-22 21:43:19.479921
73,6,3,shadowMarkers,1,6,2,1724362882668,true,
74,1,3,smallMultiples,1,2,2,1724364036246,true,,2024-08-22 22:05:00.570554
74,1,3,smallMultiples,2,3,2,1724364152699,true,
74,1,3,smallMultiples,2,4,2,1724364195418,true,
74,1,3,smallMultiples,2,6,2,1724364258567,true,
74,1,3,overlays,1,2,2,1724364777419,true,,2024-08-22 22:14:50.331644
74,1,3,shadowMarkers,1,2,2,1724365694213,true,,2024-08-22 22:32:38.286298
74,1,3,shadowMarkers,2,4,2,1724365908773,true,
82,4,3,overlays,0,1,3,1724428887917,false,,2024-08-23 16:08:26.559551
81,5,3,shadowMarkers,1,2,2,1724429519004,true,,2024-08-23 16:16:13.679435
81,5,3,shadowMarkers,2,3,2,1724429746697,true,
82,4,3,smallMultiples,0,1,2,1724429797352,true,,2024-08-23 16:20:30.058068
81,5,3,smallMultiples,1,1,3,1724430384602,false,,2024-08-23 16:33:11.467944
81,5,3,smallMultiples,1,1,2,1724430574279,true,
81,5,3,smallMultiples,2,3,2,1724430731491,true,
80,3,3,smallMultiples,0,1,2,1724430906622,true,,2024-08-23 16:44:27.183344
80,3,3,smallMultiples,0,2,2,1724431009304,true,
80,3,3,smallMultiples,1,2,2,1724431199586,true,
80,3,3,smallMultiples,1,2,2,1724431207309,true,
80,3,3,smallMultiples,2,2,2,1724431322224,true,
80,3,3,smallMultiples,2,3,2,1724431377827,true,
80,3,3,smallMultiples,2,5,2,1724431443676,true,
83,3,3,smallMultiples,0,2,2,1724441122741,true,,2024-08-23 19:28:35.246856
84,3,3,smallMultiples,0,1,4,1724441928595,false,,2024-08-23 19:48:19.046682
84,3,3,smallMultiples,0,1,4,1724441938600,false,
84,3,3,smallMultiples,0,1,2,1724442038747,true,
84,3,3,smallMultiples,1,1,2,1724442246361,true,
84,3,3,smallMultiples,2,3,2,1724442449735,true,
84,3,3,smallMultiples,2,4,2,1724442461794,true,
84,3,3,shadowMarkers,0,1,2,1724442842746,true,,2024-08-23 19:59:09.052866
84,3,3,shadowMarkers,1,1,3,1724442945600,false,
84,3,3,shadowMarkers,1,2,2,1724443026949,true,
84,3,3,shadowMarkers,1,3,2,1724443044764,true,
84,3,3,shadowMarkers,2,2,2,1724443140979,true,
