pID,condition,task,interaction,trial,attempt,errCode,timestamp,fullscreen,timestamp
3,1,3,smallMultiples,2,3,2,1724261888850,true,,2024-08-21 17:38:14.405893
3,1,3,overlays,0,2,2,1724262061176,true,,2024-08-21 17:42:08.218671
4,2,3,smallMultiples,1,1,3,1724263207856,false,,2024-08-21 18:03:26.204664
4,2,3,smallMultiples,2,3,2,1724263311199,true,
4,2,3,smallMultiples,2,4,2,1724263325183,true,
4,2,3,smallMultiples,2,5,2,1724263347556,true,
4,2,3,smallMultiples,2,7,2,1724263387545,true,
8,2,3,smallMultiples,1,2,2,1724263393278,true,,2024-08-21 18:07:43.828686
8,2,3,smallMultiples,1,3,2,1724263425941,true,
8,2,3,smallMultiples,1,3,2,1724263430474,true,
8,2,3,smallMultiples,2,2,2,1724263504318,true,
4,2,3,shadowMarkers,0,2,2,1724263585577,true,,2024-08-21 18:10:18.511853
4,2,3,shadowMarkers,0,3,2,1724263619486,true,
4,2,3,shadowMarkers,2,2,2,1724263764227,true,
4,2,3,shadowMarkers,2,5,2,1724263807144,true,
8,2,3,shadowMarkers,2,1,2,1724263871296,true,,2024-08-21 18:11:33.171855
4,2,3,overlays,0,2,2,1724264237027,true,,2024-08-21 18:20:22.454463
4,2,3,overlays,1,3,2,1724264289651,true,
4,2,3,overlays,1,3,2,1724264300911,true,
4,2,3,overlays,1,5,2,1724264316578,true,
4,2,3,overlays,1,6,2,1724264329103,true,
4,2,3,overlays,1,7,2,1724264353178,true,
4,2,3,overlays,2,2,2,1724264389788,true,
8,2,3,overlays,1,3,2,1724264468219,true,,2024-08-21 18:25:01.710413
13,3,3,smallMultiples,1,2,2,1724268827341,true,,2024-08-21 19:39:24.857297
14,6,3,smallMultiples,2,3,2,1724269160143,true,,2024-08-21 19:40:15.717721
14,6,3,smallMultiples,2,3,2,1724269168143,true,
15,3,3,overlays,0,1,3,1724269090919,false,,2024-08-21 19:41:57.681075
15,3,3,overlays,1,2,2,1724269211222,true,
21,5,3,shadowMarkers,0,1,4,1724270944854,true,,2024-08-21 20:19:13.708298
21,5,3,shadowMarkers,0,1,4,1724270978675,false,
21,5,3,shadowMarkers,0,1,4,1724271042007,false,
21,5,3,shadowMarkers,1,2,2,1724271438199,true,
21,5,3,shadowMarkers,1,2,2,1724271444949,true,
21,5,3,shadowMarkers,1,4,2,1724271469717,true,
