pID,condition,task,interaction,trial,attempt,dataset,category,videos,selectedVideos,correctVideos,difference1,difference2,loadTime,elapsedTime,totalCorrect,falseNegatives,falsePositives,incompleteTrial
47,6,3,shadowMarkers,1,2,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,bryce_elder;paul_skenes;,drew_verhagen;bryce_elder;,0.015657905351610702,0.07702012723957286,32929,43771,1,1,1,false
47,6,3,shadowMarkers,1,3,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,bryce_elder;jake_woodford;,drew_verhagen;bryce_elder;,0.015657905351610702,0.10834615821523157,32929,51222,1,1,1,false
47,6,3,shadowMarkers,1,4,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,bryce_elder;andre_pallante;,drew_verhagen;bryce_elder;,0.015657905351610702,0.06594641764341708,32929,62522,1,1,1,false
47,6,3,shadowMarkers,1,5,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,bryce_elder;kevin_gausman;,drew_verhagen;bryce_elder;,0.015657905351610702,0.11239844304971487,32929,69260,1,1,1,false
47,6,3,shadowMarkers,1,6,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,bryce_elder;zack_wheeler;,drew_verhagen;bryce_elder;,0.015657905351610702,0.08581893730407057,32929,71982,1,1,1,false
47,6,3,shadowMarkers,1,7,baseball,busch_stadium,adam_wainwright;andre_pallante;jamerson_taillon;paul_skenes;drew_verhagen;zack_wheeler;jake_woodford;bryce_elder;kevin_gausman;,bryce_elder;drew_verhagen;,drew_verhagen;bryce_elder;,0.015657905351610702,0.006324555320336708,32929,77714,2,0,0,false
47,6,3,shadowMarkers,2,1,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;daniel_hudson;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.05974629695638052,33203,19011,1,1,1,false
47,6,3,shadowMarkers,2,2,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;zac_gallen;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.06558239092927304,33203,27993,1,1,1,false
47,6,3,shadowMarkers,2,3,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;landon_knack;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.06655200973674652,33203,31410,1,1,1,false
47,6,3,shadowMarkers,2,4,baseball,dodger_stadium,emmet_sheehan;bobby_miller;daniel_hudson;landon_knack;max_muncy;noah_syndergaard;freddie_freeman;zac_gallen;patrick_bailey;,patrick_bailey;freddie_freeman;,freddie_freeman;patrick_bailey;,0.016815469068687947,0.01624592256537006,33203,38395,2,0,0,false
48,2,3,smallMultiples,0,1,baseball,oakland_coliseum,paul_blackburn;mason_miller;luis_medina;ross_stripling;frankie_montas;zach_jackson;adrian_martinez;joe_boyle;austin_pruitt;,adrian_martinez;austin_pruitt;,adrian_martinez;austin_pruitt;,0.02044137960119129,0.020350184274349942,37037,87725,2,0,0,false
