,participantID,externalID,condition,duration,finished,demographics_identify_1,demographics_identify_2,demographics_age_1,demographics_computer_experience_1,demographics_games_experience_1,demographics_video_editing_experience_1,demographics_video_comparison_experience_1,demographics_visualization_experience_1,demographics_visualization_comparison_experience_1,demographics_line_chart_1,demographics_bar_chart_1,demographics_scatter_plot_1,demographics_area_chart_1,demographics_pie_chart_1,demographics_box_and_whisker_plot_1,demographics_data_visualizations_1,demographics_cvd_1,demographics_cvd_type_1,demographics_vision_ability_1,demographics_vision_ability_type_1,demographics_duration,summary1_speed_1,summary1_speed_reason_1,summary1_accuracy_1,summary1_accuracy_reason_1,summary1_preference_1,summary1_preference_reason_1,summary1_comments_1,summary1_duration,nasa-tlx/smallmultiples1_slider_1,nasa-tlx/smallmultiples1_slider_2,nasa-tlx/smallmultiples1_slider_3,nasa-tlx/smallmultiples1_slider_4,nasa-tlx/smallmultiples1_slider_5,nasa-tlx/smallmultiples1_slider_6,nasa-tlx/smallmultiples1_slider_7,nasa-tlx/smallmultiples1_slider_8,nasa-tlx/smallmultiples1_slider_9,nasa-tlx/smallmultiples1_slider_10,nasa-tlx/smallmultiples1_duration,nasa-tlx/overlays1_slider_1,nasa-tlx/overlays1_slider_2,nasa-tlx/overlays1_slider_3,nasa-tlx/overlays1_slider_4,nasa-tlx/overlays1_slider_5,nasa-tlx/overlays1_slider_6,nasa-tlx/overlays1_slider_7,nasa-tlx/overlays1_slider_8,nasa-tlx/overlays1_slider_9,nasa-tlx/overlays1_slider_10,nasa-tlx/overlays1_duration,nasa-tlx/shadowMarkers1_slider_1,nasa-tlx/shadowMarkers1_slider_2,nasa-tlx/shadowMarkers1_slider_3,nasa-tlx/shadowMarkers1_slider_4,nasa-tlx/shadowMarkers1_slider_5,nasa-tlx/shadowMarkers1_slider_6,nasa-tlx/shadowMarkers1_slider_7,nasa-tlx/shadowMarkers1_slider_8,nasa-tlx/shadowMarkers1_slider_9,nasa-tlx/shadowMarkers1_slider_10,nasa-tlx/shadowMarkers1_duration
0,1,,smallmultiples_overlays_shadowmarks,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,65d687224b44a4dcf4d06863,smallmultiples_overlays_shadowmarks,2597.608492,True,Woman,,46.0,45.0,15.0,0.0,0.0,0.0,0.0,1,1,,,1,,0.0,No,,Yes,,224.685046,Shadow Marks,It was easier to compare all the videos faster.,Shadow Marks,It was the easiest way to compare all the videos at once.,Shadow Marks,The other techniques were too time consuming and stressful. I also wasn't very good at this.,"This took me way longer than expected. Sorry, I guess I was slow.",186.974274,7.0,1.0,6.0,6.0,6.0,7.0,6.0,1.0,7.0,4.0,102.581952,6.0,1.0,6.0,5.0,7.0,7.0,5.0,4.0,6.0,3.0,62.441075,6.0,1.0,7.0,4.0,5.0,7.0,3.0,4.0,4.0,3.0,40.49647
2,3,606ddb0033f69d1a832059cd,smallmultiples_shadowmarks_overlays,0.0,False,Man,,33.0,20.0,10.0,2.0,2.0,2.0,3.0,1,1,,,1,,0.0,No,,Yes,,46.088879,,,,,,,,,3.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,33.958169,,,,,,,,,,,,5.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,27.124457
3,4,6697c114ae7e4b0aafeb0555,overlays_smallmultiples_shadowmarks,0.0,False,Man,,20.0,60.0,20.0,0.0,5.0,2.0,2.0,1,1,1,1,1,,0.0,No,,Yes,,68.906358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,592309913b8b2f0001c6ea30,overlays_shadowmarks_smallmultiples,1260.119212,True,Woman,,46.0,30.0,0.0,0.0,0.0,5.0,5.0,1,1,1,1,1,1,0.0,No,,Yes,,128.255189,Shadow Marks,"I was able to leave a marker, keep playing the video and accuratly determine if another plant went over the set marker",Shadow Marks,as above,Shadow Marks,as above,,73.068934,2.0,2.0,3.0,5.0,2.0,2.0,5.0,2.0,5.0,2.0,35.241966,1.0,1.0,1.0,7.0,1.0,7.0,7.0,1.0,4.0,4.0,33.529942,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,28.447989
5,6,665e1c4a3ecc2a4e6ace07f9,shadowmarks_smallmultiples_overlays,2021.077204,True,Woman,,34.0,50.0,6.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,No,,Yes,,57.910815,Shadow Marks,direct comparison between many more sunflowers in one go,Shadow Marks,direct comparison between many more sunflowers in one go,Shadow Marks,direct comparison between many more sunflowers in one go,"for overlays, prefer if the window on the right was bigger. found it challenging that it was small. ",70.975363,6.0,6.0,5.0,7.0,7.0,7.0,7.0,2.0,7.0,2.0,21.199161,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,21.357541,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,35.587227
6,7,6659d3ff2bd099a0f7d83ff9,shadowmarks_overlays_smallmultiples,2875.98376,True,Woman,,42.0,90.0,0.0,0.0,0.0,0.0,0.0,1,1,,,1,,0.0,No,,Yes,,161.612125,Shadow Marks,The grid made it a lot easier to find the tallest plant.,Shadow Marks,The grid.,Shadow Marks,It was the easiest to vizualize with.,N/A,203.497639,2.0,1.0,1.0,1.0,2.0,1.0,3.0,7.0,5.0,1.0,39.865848,2.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,46.600648,2.0,1.0,1.0,2.0,3.0,4.0,1.0,7.0,3.0,3.0,91.394317
7,8,66afa4fe7506aa2682cd7f67,smallmultiples_overlays_shadowmarks,1623.110347,True,Woman,,19.0,6.0,1.0,0.0,8.0,2.0,3.0,1,1,1,,1,1,0.0,No,,Yes,,77.22258,Shadow Marks,it allowed you to compare the heights more easily ,Shadow Marks,there was a guideline of the height of a specific plant so if you were uncertain you could easily check the height of that one compared to another,Shadow Marks,it was quicker,,97.62275,3.0,4.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,69.258292,3.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,59.131552,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,39.557884
8,9,5d6b61263a9682001bd62496,smallmultiples_shadowmarks_overlays,1146.195318,True,Man,,34.0,6.0,3.0,0.0,1.0,0.0,1.0,1,1,1,1,1,,0.0,No,,Yes,,62.692352,Overlays,easies to directly compare and easy to add or remove a plant from the overlay.,Overlays,Was able to easily measure up and compare multiple plants and easily tell which one reached a higher point. ,Overlays,Very easy to add and remove plants from the overlay with a simple click. ,,100.014875,5.0,2.0,3.0,5.0,3.0,2.0,5.0,2.0,3.0,2.0,40.38767,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,25.624634,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,25.010165
9,10,64ebf755e33fc07976a506ca,overlays_smallmultiples_shadowmarks,0.0,False,Man,,31.0,10.0,48.0,0.0,10.0,10.0,10.0,1,1,1,,,,0.0,No,,Yes,,52.904002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
