,participantID,externalID,condition,duration,finished,demographics_identify_1,demographics_identify_2,demographics_age_1,demographics_computer_experience_1,demographics_games_experience_1,demographics_video_editing_experience_1,demographics_video_comparison_experience_1,demographics_visualization_experience_1,demographics_visualization_comparison_experience_1,demographics_line_chart_1,demographics_bar_chart_1,demographics_scatter_plot_1,demographics_area_chart_1,demographics_pie_chart_1,demographics_box_and_whisker_plot_1,demographics_data_visualizations_1,demographics_cvd_1,demographics_cvd_type_1,demographics_vision_ability_1,demographics_vision_ability_type_1,demographics_duration,summary1_speed_1,summary1_speed_reason_1,summary1_accuracy_1,summary1_accuracy_reason_1,summary1_preference_1,summary1_preference_reason_1,summary1_comments_1,summary1_duration,nasa-tlx/smallmultiples1_slider_1,nasa-tlx/smallmultiples1_slider_2,nasa-tlx/smallmultiples1_slider_3,nasa-tlx/smallmultiples1_slider_4,nasa-tlx/smallmultiples1_slider_5,nasa-tlx/smallmultiples1_slider_6,nasa-tlx/smallmultiples1_slider_7,nasa-tlx/smallmultiples1_slider_8,nasa-tlx/smallmultiples1_slider_9,nasa-tlx/smallmultiples1_slider_10,nasa-tlx/smallmultiples1_duration,nasa-tlx/overlays1_slider_1,nasa-tlx/overlays1_slider_2,nasa-tlx/overlays1_slider_3,nasa-tlx/overlays1_slider_4,nasa-tlx/overlays1_slider_5,nasa-tlx/overlays1_slider_6,nasa-tlx/overlays1_slider_7,nasa-tlx/overlays1_slider_8,nasa-tlx/overlays1_slider_9,nasa-tlx/overlays1_slider_10,nasa-tlx/overlays1_duration,nasa-tlx/shadowMarkers1_slider_1,nasa-tlx/shadowMarkers1_slider_2,nasa-tlx/shadowMarkers1_slider_3,nasa-tlx/shadowMarkers1_slider_4,nasa-tlx/shadowMarkers1_slider_5,nasa-tlx/shadowMarkers1_slider_6,nasa-tlx/shadowMarkers1_slider_7,nasa-tlx/shadowMarkers1_slider_8,nasa-tlx/shadowMarkers1_slider_9,nasa-tlx/shadowMarkers1_slider_10,nasa-tlx/shadowMarkers1_duration
0,2,65d687224b44a4dcf4d06863,smallmultiples_overlays_shadowmarks,2597.608492,True,Woman,,46,45,15,0,0,0,0,1,1,,,1,,0,No,,Yes,,224.685046,Shadow Marks,It was easier to compare all the videos faster.,Shadow Marks,It was the easiest way to compare all the videos at once.,Shadow Marks,The other techniques were too time consuming and stressful. I also wasn't very good at this.,"This took me way longer than expected. Sorry, I guess I was slow.",186.974274,7,1,6,6,6,7,6,1,7,4,102.581952,6,1,6,5,7,7,5,4,6,3,62.441075,6,1,7,4,5,7,3,4,4,3,40.49647
1,5,592309913b8b2f0001c6ea30,overlays_shadowmarks_smallmultiples,1260.119212,True,Woman,,46,30,0,0,0,5,5,1,1,1,1,1,1,0,No,,Yes,,128.255189,Shadow Marks,"I was able to leave a marker, keep playing the video and accuratly determine if another plant went over the set marker",Shadow Marks,as above,Shadow Marks,as above,,73.068934,2,2,3,5,2,2,5,2,5,2,35.241966,1,1,1,7,1,7,7,1,4,4,33.529942,1,1,1,2,2,2,2,6,2,2,28.447989
2,6,665e1c4a3ecc2a4e6ace07f9,shadowmarks_smallmultiples_overlays,2021.077204,True,Woman,,34,50,6,0,0,0,0,1,1,1,1,1,1,0,No,,Yes,,57.910815,Shadow Marks,direct comparison between many more sunflowers in one go,Shadow Marks,direct comparison between many more sunflowers in one go,Shadow Marks,direct comparison between many more sunflowers in one go,"for overlays, prefer if the window on the right was bigger. found it challenging that it was small. ",70.975363,6,6,5,7,7,7,7,2,7,2,21.199161,3,3,3,3,3,3,3,5,3,3,21.357541,5,5,3,5,5,5,4,5,5,2,35.587227
3,7,6659d3ff2bd099a0f7d83ff9,shadowmarks_overlays_smallmultiples,2875.98376,True,Woman,,42,90,0,0,0,0,0,1,1,,,1,,0,No,,Yes,,161.612125,Shadow Marks,The grid made it a lot easier to find the tallest plant.,Shadow Marks,The grid.,Shadow Marks,It was the easiest to vizualize with.,N/A,203.497639,2,1,1,1,2,1,3,7,5,1,39.865848,2,1,1,1,2,1,1,7,2,1,46.600648,2,1,1,2,3,4,1,7,3,3,91.394317
4,8,66afa4fe7506aa2682cd7f67,smallmultiples_overlays_shadowmarks,1623.110347,True,Woman,,19,6,1,0,8,2,3,1,1,1,,1,1,0,No,,Yes,,77.22258,Shadow Marks,it allowed you to compare the heights more easily ,Shadow Marks,there was a guideline of the height of a specific plant so if you were uncertain you could easily check the height of that one compared to another,Shadow Marks,it was quicker,,97.62275,3,4,5,5,5,5,6,3,5,5,69.258292,3,3,5,4,3,4,3,4,3,2,59.131552,3,3,3,3,3,2,3,5,3,2,39.557884
5,9,5d6b61263a9682001bd62496,smallmultiples_shadowmarks_overlays,1146.195318,True,Man,,34,6,3,0,1,0,1,1,1,1,1,1,,0,No,,Yes,,62.692352,Overlays,easies to directly compare and easy to add or remove a plant from the overlay.,Overlays,Was able to easily measure up and compare multiple plants and easily tell which one reached a higher point. ,Overlays,Very easy to add and remove plants from the overlay with a simple click. ,,100.014875,5,2,3,5,3,2,5,2,3,2,40.38767,3,3,3,3,3,3,5,5,3,3,25.624634,5,3,3,5,3,3,5,3,3,3,25.010165
6,11,667d8e907209f09ddcfa9155,overlays_smallmultiples_shadowmarks,1848.114601,True,Man,,30,30,40,5,2,5,2,,1,1,,1,,0,No,,Yes,,104.598,Overlays,easier to spot the tallest by stacking them on top of each other,Overlays,easier to spot the tallest by stacking them on top of each other,Overlays,easier to spot the tallest by stacking them on top of each other,,53.603552,3,1,1,4,5,1,5,3,4,4,33.572368,3,1,1,2,3,1,4,5,2,1,35.356726,4,1,1,2,2,1,4,4,4,4,22.94851
7,15,6679757dcf5a0a996e500673,shadowmarks_smallmultiples_overlays,1245.690753,True,Man,,36,48,12,2,0,0,0,1,1,,,1,,0,No,,Yes,,89.77289,Small Multiples,It's more intuitive and less system dependant.,Small Multiples,Same reason as above.,Small Multiples,It's easier to operate and find the right solution.,,40.924468,1,1,1,6,1,2,2,6,2,1,31.178965,1,1,1,6,2,3,1,6,2,1,17.505174,1,1,1,7,2,3,1,6,2,1,28.809938
8,16,66bddb993c5fa47138a89cde,overlays_smallmultiples_shadowmarks,2205.894459,True,Woman,,33,45,10,3,5,4,3,1,1,,1,1,,0,No,,Yes,,171.125787,Overlays,I could see through,Shadow Marks,Dimensions,Overlays,Seeing Through others,NA,146.992472,7,6,3,3,7,1,2,4,5,5,36.792585,7,6,5,2,5,1,1,5,5,4,52.724448,7,7,2,4,6,1,4,5,4,5,32.62524
9,18,668c4b63509df0f32d2b4a72,smallmultiples_overlays_shadowmarks,1148.46488,True,Man,,36,35,15,0,5,0,0,1,,,,1,,0,No,,Yes,,67.609999,Shadow Marks,It allowed me to compare all the flowers at once instead of having to compare 2 at a time to easily find the highest point.,Shadow Marks,Having a constant mark of the highest point made it easier to compare each flower,Shadow Marks,Easier to use and quicker to find the correct result,,91.746033,5,2,6,3,5,7,6,3,6,2,32.667073,3,2,5,1,2,2,1,7,2,2,29.976653,5,2,2,5,5,5,4,5,5,2,26.258832
