pID,condition,identify,age,ComputerExperience,GamesExperience,VideoEditingExperience,VideoComparisonExperience,VisualizationExperience,VisualizationComparisonExperience,LineChartExperience,BarChartExperience,ScatterplotExperience,AreaChartExperience,PieChartExperience,BoxWhiskerExperience
3,smallmultiples_overlays_shadowmarks,Man,37,5,0,0,0,0,0,1,,,,1,
5,overlays_smallmultiples_shadowmarks,Woman,30,70,8,55,1,3,1,,1,1,,1,
6,overlays_shadowmarks_smallmultiples,Woman,56,10,5,0,0,0,0,1,1,1,1,1,1
9,smallmultiples_overlays_shadowmarks,Non-binary,29,10,1,0,0,0,0,1,1,1,1,1,
10,smallmultiples_shadowmarks_overlays,Two-Spirit,32,14,6,0,0,0,0,1,1,1,,1,
13,shadowmarks_smallmultiples_overlays,Woman,36,60,10,0,0,12,12,1,1,1,1,1,
15,smallmultiples_shadowmarks_overlays,Woman,28,70,5,2,4,4,8,1,1,1,1,1,
16,smallmultiples_overlays_shadowmarks,Woman,37,10,4,0,0,1,1,1,1,,,1,
18,overlays_smallmultiples_shadowmarks,Man,18,50,13,0,1,5,6,1,1,,,1,
21,shadowmarks_overlays_smallmultiples,Man,35,50,5,0,0,0,0,1,1,1,1,1,
24,overlays_smallmultiples_shadowmarks,Man,39,20,2,0,0,0,0,1,1,1,1,1,
27,shadowmarks_smallmultiples_overlays,Woman,30,40,5,2,0,0,0,1,1,1,1,1,
29,overlays_shadowmarks_smallmultiples,Woman,39,30,8,2,2,8,3,1,1,1,1,1,1
34,smallmultiples_shadowmarks_overlays,Man,37,50,2,0,0,2,10,1,1,1,1,1,
37,shadowmarks_smallmultiples_overlays,Man,25,40,4,0,0,0,0,1,1,1,,1,
39,overlays_shadowmarks_smallmultiples,Man,43,20,2,1,0,1,1,1,1,,,1,
41,shadowmarks_smallmultiples_overlays,Woman,37,48,30,10,12,5,5,1,1,1,1,1,1
42,smallmultiples_overlays_shadowmarks,Woman,49,40,0,25,0,25,0,1,1,,,1,
44,smallmultiples_shadowmarks_overlays,Woman,59,40,5,0,0,1,1,1,1,,,1,
46,smallmultiples_shadowmarks_overlays,Man,28,10,3,0,0,1,1,1,1,1,1,1,1
47,overlays_shadowmarks_smallmultiples,Man,36,40,15,2,1,2,3,1,1,1,1,1,
48,shadowmarks_smallmultiples_overlays,Man,26,28,6,0,0,0,0,1,1,1,1,1,
52,overlays_smallmultiples_shadowmarks,Man,41,20,10,0,0,0,0,1,1,,,1,
54,shadowmarks_overlays_smallmultiples,Woman,47,10,0,0,0,0,0,,1,1,,1,
55,shadowmarks_overlays_smallmultiples,Man,30,20,6,1,1,3,3,1,1,1,1,1,
56,overlays_smallmultiples_shadowmarks,Man,42,50,0,0,1,0,0,1,1,1,1,1,
58,smallmultiples_overlays_shadowmarks,Man,42,40,16,0,0,0,0,,1,1,,1,
59,shadowmarks_overlays_smallmultiples,Woman,62,100,1,0,0,0,0,1,1,,,1,
60,overlays_shadowmarks_smallmultiples,Woman,21,15,2,1,0,1,0,1,1,1,,1,1
61,shadowmarks_overlays_smallmultiples,Man,28,40,15,0,0,0,0,1,1,1,,1,
63,smallmultiples_overlays_shadowmarks,Woman,21,20,12,0,0,5,0,1,1,,,1,
64,smallmultiples_shadowmarks_overlays,Man,25,2,1,0,0,3,2,1,1,1,1,1,
70,overlays_smallmultiples_shadowmarks,Woman,36,42,1,-2,0,-1,0,1,1,,,1,
71,shadowmarks_smallmultiples_overlays,Non-binary,22,40,20,0,0,0,0,1,1,1,,1,
72,smallmultiples_shadowmarks_overlays,Woman,34,45,0,0,0,5,0,1,1,1,,1,
74,shadowmarks_overlays_smallmultiples,Man,28,40,10,0,0,15,10,1,1,1,1,1,1
