"","pID","condition","trial","interaction","attempt","elapsedTime","selectedVideos","videos"
"69",13,5,1,"overlays",2,10642,"scatterplot-30;","scatterplot-42;scatterplot-60;scatterplot-4;scatterplot-30;scatterplot-12;scatterplot-31;scatterplot-23;scatterplot-87;scatterplot-40;"
"70",13,5,1,"overlays",3,14851,"scatterplot-31;","scatterplot-42;scatterplot-60;scatterplot-4;scatterplot-30;scatterplot-12;scatterplot-31;scatterplot-23;scatterplot-87;scatterplot-40;"
"71",13,5,1,"shadowMarkers",1,49395,"scatterplot-64;","scatterplot-30;scatterplot-35;scatterplot-64;scatterplot-56;scatterplot-2;scatterplot-47;scatterplot-57;scatterplot-81;scatterplot-4;"
"72",13,5,1,"shadowMarkers",2,60533,"scatterplot-35;","scatterplot-30;scatterplot-35;scatterplot-64;scatterplot-56;scatterplot-2;scatterplot-47;scatterplot-57;scatterplot-81;scatterplot-4;"
"73",13,5,1,"shadowMarkers",3,86108,"scatterplot-35;","scatterplot-30;scatterplot-35;scatterplot-64;scatterplot-56;scatterplot-2;scatterplot-47;scatterplot-57;scatterplot-81;scatterplot-4;"
"74",13,5,1,"smallMultiples",1,31307,"scatterplot-44;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"75",13,5,1,"smallMultiples",2,37087,"scatterplot-95;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"76",13,5,1,"smallMultiples",3,44115,"scatterplot-39;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"77",13,5,1,"smallMultiples",4,51324,"scatterplot-22;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"78",13,5,1,"smallMultiples",5,55515,"scatterplot-27;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"79",13,5,1,"smallMultiples",6,59012,"scatterplot-87;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"80",13,5,1,"smallMultiples",7,63308,"scatterplot-95;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"81",13,5,1,"smallMultiples",8,69602,"scatterplot-44;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"82",13,5,1,"smallMultiples",9,73366,"scatterplot-3;","scatterplot-22;scatterplot-27;scatterplot-87;scatterplot-3;scatterplot-39;scatterplot-6;scatterplot-44;scatterplot-32;scatterplot-95;"
"83",13,5,2,"overlays",1,53025,"scatterplot-33;","scatterplot-90;scatterplot-41;scatterplot-85;scatterplot-94;scatterplot-23;scatterplot-33;scatterplot-35;scatterplot-32;scatterplot-51;"
"84",13,5,2,"shadowMarkers",1,18211,"scatterplot-82;","scatterplot-6;scatterplot-22;scatterplot-19;scatterplot-78;scatterplot-82;scatterplot-26;scatterplot-5;scatterplot-4;scatterplot-72;"
"85",13,5,2,"shadowMarkers",2,43750,"scatterplot-26;","scatterplot-6;scatterplot-22;scatterplot-19;scatterplot-78;scatterplot-82;scatterplot-26;scatterplot-5;scatterplot-4;scatterplot-72;"
"86",13,5,2,"smallMultiples",1,28920,"scatterplot-33;","scatterplot-40;scatterplot-21;scatterplot-25;scatterplot-33;scatterplot-48;scatterplot-19;scatterplot-57;scatterplot-3;scatterplot-58;"
"87",13,5,2,"smallMultiples",2,40304,"scatterplot-3;","scatterplot-40;scatterplot-21;scatterplot-25;scatterplot-33;scatterplot-48;scatterplot-19;scatterplot-57;scatterplot-3;scatterplot-58;"
"88",15,2,1,"overlays",1,65285,"scatterplot-3;","scatterplot-77;scatterplot-64;scatterplot-26;scatterplot-92;scatterplot-69;scatterplot-3;scatterplot-35;scatterplot-65;scatterplot-32;"
"89",15,2,1,"shadowMarkers",1,51585,"scatterplot-9;","scatterplot-35;scatterplot-81;scatterplot-38;scatterplot-9;scatterplot-94;scatterplot-92;scatterplot-29;scatterplot-20;scatterplot-25;"
"90",15,2,1,"smallMultiples",1,30804,"scatterplot-92;","scatterplot-85;scatterplot-82;scatterplot-92;scatterplot-95;scatterplot-45;scatterplot-58;scatterplot-30;scatterplot-61;scatterplot-90;"
