pID,condition,task,interaction,trial,attempt,errCode,timestamp,fullscreen,timestamp
9,1,4,smallMultiples,0,1,3,1723588266638,false,,2024-08-13 22:33:07.261276
3,1,4,smallMultiples,2,8,3,1723588378988,false,,2024-08-13 22:33:30.220901
3,1,4,smallMultiples,2,8,3,1723588382316,false,
3,1,4,smallMultiples,2,8,3,1723588383054,false,
3,1,4,smallMultiples,2,8,3,1723588392645,false,
3,1,4,smallMultiples,2,8,3,1723588394078,false,
3,1,4,smallMultiples,2,8,3,1723588394572,false,
6,4,4,smallMultiples,0,1,3,1723588857854,false,,2024-08-13 22:43:43.621356
6,4,4,smallMultiples,0,1,3,1723588864182,false,
6,4,4,smallMultiples,0,1,3,1723588865182,false,
6,4,4,smallMultiples,0,1,3,1723588869770,false,
6,4,4,smallMultiples,0,1,3,1723588871718,false,
6,4,4,smallMultiples,0,1,3,1723588875274,false,
6,4,4,smallMultiples,0,1,3,1723588882925,false,
6,4,4,smallMultiples,0,1,3,1723588884244,false,
6,4,4,smallMultiples,0,1,3,1723588887741,false,
6,4,4,smallMultiples,0,1,3,1723588889572,false,
6,4,4,smallMultiples,0,1,3,1723588890010,false,
6,4,4,smallMultiples,0,1,3,1723588890191,false,
6,4,4,smallMultiples,0,1,3,1723588890373,false,
6,4,4,smallMultiples,0,1,3,1723588890652,false,
6,4,4,smallMultiples,0,1,3,1723588891383,false,
6,4,4,smallMultiples,0,1,3,1723588893260,false,
6,4,4,smallMultiples,0,1,3,1723588903482,false,
6,4,4,smallMultiples,0,1,3,1723588905754,false,
6,4,4,smallMultiples,0,2,3,1723588919809,false,
6,4,4,smallMultiples,0,2,3,1723588921307,false,
6,4,4,smallMultiples,0,2,3,1723588922319,false,
6,4,4,smallMultiples,0,2,3,1723588923781,false,
6,4,4,smallMultiples,0,2,3,1723588926651,false,
6,4,4,smallMultiples,0,3,3,1723588937627,false,
6,4,4,smallMultiples,0,3,3,1723588938945,false,
6,4,4,smallMultiples,0,3,3,1723588942297,false,
6,4,4,smallMultiples,0,3,3,1723588945713,false,
6,4,4,smallMultiples,0,3,3,1723588949975,false,
6,4,4,smallMultiples,0,3,3,1723588952039,false,
6,4,4,smallMultiples,0,4,3,1723588962823,false,
6,4,4,smallMultiples,0,4,3,1723588963959,false,
6,4,4,smallMultiples,0,4,3,1723588965473,false,
6,4,4,smallMultiples,1,1,3,1723588971183,false,
6,4,4,smallMultiples,1,1,3,1723588972595,false,
6,4,4,smallMultiples,1,1,3,1723588989265,false,
6,4,4,smallMultiples,2,1,3,1723588994450,false,
6,4,4,smallMultiples,2,1,3,1723588995607,false,
6,4,4,smallMultiples,2,1,3,1723589016653,false,
6,4,4,smallMultiples,2,1,3,1723589019590,false,
21,6,4,shadowMarkers,0,1,3,1723588682444,false,,2024-08-13 22:47:02.127290
21,6,4,shadowMarkers,0,1,3,1723588684639,false,
21,6,4,shadowMarkers,0,1,3,1723588687617,false,
21,6,4,shadowMarkers,0,1,3,1723588689397,false,
35,6,4,shadowMarkers,0,1,3,1723589278270,false,,2024-08-13 22:50:51.590120
35,6,4,shadowMarkers,0,1,3,1723589285121,false,
35,6,4,shadowMarkers,0,1,3,1723589286101,false,
35,6,4,shadowMarkers,0,1,3,1723589296304,false,
35,6,4,shadowMarkers,0,1,3,1723589299612,false,
24,3,4,overlays,0,1,3,1723589095997,false,,2024-08-13 22:51:26.028865
34,2,4,shadowMarkers,0,1,3,1723589368991,false,,2024-08-13 22:51:26.640042
15,2,4,shadowMarkers,0,1,3,1723589191537,false,,2024-08-13 22:52:33.651266
15,2,4,shadowMarkers,0,1,3,1723589193802,false,
15,2,4,shadowMarkers,0,1,3,1723589197665,false,
15,2,4,shadowMarkers,0,1,3,1723589198460,false,
15,2,4,shadowMarkers,0,1,3,1723589199102,false,
15,2,4,shadowMarkers,0,1,3,1723589200077,false,
