"","pID","condition","interaction","trial","attempt","selectedVideos","videos"
"70",18,3,"smallMultiples",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"71",18,3,"smallMultiples",1,1,"scatterplot-12;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"72",18,3,"smallMultiples",1,10,"scatterplot-86;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"73",18,3,"smallMultiples",1,2,"scatterplot-30;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"74",18,3,"smallMultiples",1,3,"scatterplot-20;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"75",18,3,"smallMultiples",1,4,"scatterplot-60;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"76",18,3,"smallMultiples",1,5,"scatterplot-28;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"77",18,3,"smallMultiples",1,6,"scatterplot-64;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"78",18,3,"smallMultiples",1,7,"scatterplot-12;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"79",18,3,"smallMultiples",1,8,"scatterplot-40;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"80",18,3,"smallMultiples",1,9,"scatterplot-60;","scatterplot-30;scatterplot-61;scatterplot-20;scatterplot-86;scatterplot-64;scatterplot-28;scatterplot-60;scatterplot-40;scatterplot-12;"
"81",18,3,"smallMultiples",2,1,"scatterplot-60;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"82",18,3,"smallMultiples",2,2,"scatterplot-57;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"83",18,3,"smallMultiples",2,3,"scatterplot-40;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"84",18,3,"smallMultiples",2,4,"scatterplot-3;","scatterplot-81;scatterplot-57;scatterplot-88;scatterplot-40;scatterplot-12;scatterplot-60;scatterplot-1;scatterplot-3;scatterplot-79;"
"85",21,6,"overlays",0,1,"scatterplot-0;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"86",21,6,"overlays",0,2,"scatterplot-0;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"87",21,6,"overlays",0,3,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"88",21,6,"overlays",0,4,"scatterplot-9;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"89",21,6,"overlays",0,5,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-5;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"90",21,6,"overlays",1,1,"scatterplot-97;","scatterplot-41;scatterplot-22;scatterplot-56;scatterplot-97;scatterplot-81;scatterplot-33;scatterplot-88;scatterplot-38;scatterplot-94;"
"91",21,6,"overlays",2,1,"scatterplot-44;","scatterplot-30;scatterplot-44;scatterplot-24;scatterplot-94;scatterplot-95;scatterplot-47;scatterplot-68;scatterplot-76;scatterplot-41;"
"92",21,6,"overlays",2,2,"scatterplot-76;","scatterplot-30;scatterplot-44;scatterplot-24;scatterplot-94;scatterplot-95;scatterplot-47;scatterplot-68;scatterplot-76;scatterplot-41;"
"93",21,6,"shadowMarkers",0,1,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"94",21,6,"shadowMarkers",0,2,"scatterplot-2;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-5;scatterplot-9;"
"95",21,6,"shadowMarkers",1,1,"scatterplot-59;","scatterplot-87;scatterplot-94;scatterplot-21;scatterplot-85;scatterplot-59;scatterplot-58;scatterplot-69;scatterplot-1;scatterplot-24;"
"96",21,6,"shadowMarkers",2,1,"scatterplot-13;","scatterplot-61;scatterplot-47;scatterplot-64;scatterplot-69;scatterplot-29;scatterplot-88;scatterplot-13;scatterplot-78;scatterplot-23;"
"97",21,6,"smallMultiples",0,1,"scatterplot-5;","scatterplot-0;scatterplot-1;scatterplot-2;scatterplot-4;scatterplot-5;scatterplot-6;scatterplot-7;scatterplot-8;scatterplot-9;"
"98",21,6,"smallMultiples",1,1,"scatterplot-65;","scatterplot-4;scatterplot-61;scatterplot-12;scatterplot-94;scatterplot-95;scatterplot-16;scatterplot-65;scatterplot-44;scatterplot-64;"
